company,model,year,fuel_type,transmission,kilometers_driven,owner_type,mileage,engine_capacity,price
Honda,BRV,2017,Diesel,Manual,48000,First,21.5,1498,540000
Toyota,Etios Cross,2016,Petrol,Manual,68000,Second,18.8,1364,340000
Maruti,Celerio,2017,Petrol,Manual,58000,First,23.1,998,270000
Hyundai,Elite i20,2018,Diesel,Manual,42000,First,22.5,1396,460000
Honda,Avancier,2018,Petrol,Automatic,38000,First,16.5,1993,750000
Toyota,Sienta,2017,Hybrid,Automatic,45000,First,26.5,1496,620000
Maruti,Spresso,2019,Petrol,Manual,25000,First,21.5,998,380000
Hyundai,Aura,2019,Petrol,Manual,30000,First,20.8,1197,450000
Honda,Freed,2016,Hybrid,Automatic,52000,Second,23.5,1497,580000
Toyota,Sienta,2018,Hybrid,Automatic,38000,First,25.8,1496,650000
Maruti,Gypsy,2014,Diesel,Manual,95000,Third,12.5,1298,220000
Hyundai,Tucson,2016,Diesel,Manual,68000,Second,18.2,1995,680000
Honda,Stepwgn,2017,Petrol,Automatic,48000,First,15.8,1997,720000
Toyota,Alphard,2018,Hybrid,Automatic,35000,First,20.5,2494,1250000
Maruti,Omni,2015,Petrol,Manual,88000,Third,14.5,796,180000
Hyundai,Starex,2016,Diesel,Manual,75000,Second,16.8,2497,420000
Honda,Odyssey,2017,Petrol,Automatic,52000,First,16.2,2356,850000
Toyota,Previa,2018,Hybrid,Automatic,42000,First,22.5,2494,920000
Maruti,EECO,2017,Petrol,Manual,62000,Second,16.8,1196,280000
Hyundai,H1,2015,Diesel,Manual,92000,Third,14.2,2497,380000
Honda,Elysion,2018,Petrol,Automatic,38000,First,15.5,2356,880000
Toyota,Sienna,2019,Hybrid,Automatic,28000,First,24.5,2494,1050000
Maruti,Super Carry,2016,Diesel,Manual,78000,Second,18.5,793,240000
Hyundai,County,2014,Diesel,Manual,105000,Third,12.8,3908,320000
Honda,Acty,2015,Petrol,Manual,88000,Third,15.2,660,200000
Toyota,Hilux,2018,Diesel,Manual,55000,First,15.5,2494,850000
Maruti,Gypsy,2017,Petrol,Manual,65000,Second,14.8,1298,280000
Hyundai,Porter,2016,Diesel,Manual,72000,Second,16.2,2497,380000
Honda,Vamos,2015,Petrol,Manual,92000,Third,16.5,658,220000
Toyota,Dyna,2017,Diesel,Manual,68000,Second,14.5,3696,520000
Maruti,Carry,2018,Petrol,Manual,58000,First,17.8,793,320000
Hyundai,Mighty,2015,Diesel,Manual,85000,Third,13.8,3908,420000
Honda,T360,2016,Petrol,Manual,78000,Second,15.2,660,280000
Toyota,Coaster,2019,Diesel,Manual,45000,First,12.5,4000,950000
Maruti,Eeco,2019,Petrol,Manual,35000,First,17.2,1196,320000
Hyundai,Universe,2018,Diesel,Manual,52000,First,13.5,5900,780000
Honda,Stepwgn,2019,Hybrid,Automatic,32000,First,22.8,1997,780000
Toyota,GranAce,2019,Diesel,Automatic,28000,First,14.2,2755,1150000
